Indicator,Indicator_ID,Indicator_Measure,Indicator_Measure_ID,Geography,Geography_ID,Geo_Label,GEO_Code,Age_Groups,Age_Groups_ID,Sex,Sex_ID,SDOH,SDOH_ID,SDOH_Cat,SDOH_Cat_ID,Year,Numerator,Denominator,CrudeRate,StdErr_Cr,Lower_CI_Cr,Upper_CI_Cr,CV_Cr,CV_Cr_Interpret,ASR,StdErr_ASR,Lower_CI_ASR,Upper_CI_ASR,CV_ASR,CV_ASR_Interpret,N,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,CANADA,0,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 1 (lowest),1,2015-2018,1317087,4924182,26.7,0.5932,25.6,27.9,2.2,3,27.9,0.613190438,26.7,29.1,2.2,3,5264,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,CANADA,0,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 2,2,2015-2018,1359945,5172359,26.3,0.5534,25.2,27.4,2.1,3,26.7,0.592330536,25.5,27.8,2.2,3,5124,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,CANADA,0,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 3,3,2015-2018,1387769,5315390,26.1,0.5521,25,27.2,2.1,3,25.9,0.565343339,24.8,27.1,2.2,3,5029,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,CANADA,0,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 4,4,2015-2018,1454502,5401684,26.9,0.5481,25.9,28,2,3,26.4,0.523134958,25.4,27.4,2,3,5209,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,CANADA,0,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 5 (highest),5,2015-2018,1470852,5638456,26.1,0.493,25.1,27.1,1.9,3,25.1,0.500099295,24.1,26.1,2,3,5506,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 1 (lowest),1,2015-2018,30409,73469,41.4,1.9572,37.6,45.2,4.7,3,42.6,2.167663116,38.4,46.9,5.1,3,521,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 2,2,2015-2018,28265,73860,38.3,2.0521,34.2,42.3,5.4,3,39.9,2.36574735,35.2,44.5,5.9,3,416,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 3,3,2015-2018,28220,66792,42.2,2.0971,38.1,46.4,5,3,41.7,2.245810197,37.3,46.1,5.4,3,369,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 4,4,2015-2018,32997,76588,43.1,2.4457,38.3,47.9,5.7,3,41.7,2.177706016,37.5,46,5.2,3,395,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 5 (highest),5,2015-2018,41678,109415,38.1,1.9284,34.3,41.9,5.1,3,36.2,1.852721645,32.5,39.8,5.1,3,468,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,PRINCE EDWARD ISLAND,11,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 1 (lowest),1,2015-2018,5065,16261,31.1,2.2892,26.7,35.6,7.3,3,32.5,2.588341035,27.4,37.6,8,3,196,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,PRINCE EDWARD ISLAND,11,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 2,2,2015-2018,8414,23109,36.4,2.2913,31.9,40.9,6.3,3,36.2,2.591818419,31.1,41.2,7.2,3,221,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,PRINCE EDWARD ISLAND,11,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 3,3,2015-2018,8024,22980,34.9,2.1871,30.6,39.2,6.3,3,34.2,2.409358213,29.5,38.9,7,3,222,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,PRINCE EDWARD ISLAND,11,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 4,4,2015-2018,7825,23744,33,2.367,28.3,37.6,7.2,3,32.8,2.253517455,28.4,37.2,6.9,3,205,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,PRINCE EDWARD ISLAND,11,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 5 (highest),5,2015-2018,7059,24601,28.7,2.3895,24,33.4,8.3,3,29.2,2.236275611,24.8,33.6,7.7,3,169,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NOVA SCOTIA,12,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 1 (lowest),1,2015-2018,45493,125055,36.4,1.6848,33.1,39.7,4.6,3,37.8,1.75957539,34.4,41.3,4.7,3,651,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NOVA SCOTIA,12,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 2,2,2015-2018,45068,127147,35.4,1.6112,32.3,38.6,4.5,3,35.5,1.773510257,32,39,5,3,573,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NOVA SCOTIA,12,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 3,3,2015-2018,51188,143448,35.7,1.6938,32.4,39,4.7,3,35.7,1.68285919,32.4,39,4.7,3,563,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NOVA SCOTIA,12,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 4,4,2015-2018,52819,157243,33.6,1.4526,30.7,36.4,4.3,3,32,1.412037115,29.2,34.7,4.4,3,577,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NOVA SCOTIA,12,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 5 (highest),5,2015-2018,50136,160151,31.3,1.5513,28.3,34.3,5,3,29.8,1.564082477,26.7,32.9,5.2,3,464,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEW BRUNSWICK,13,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 1 (lowest),1,2015-2018,35622,88370,40.3,1.9394,36.5,44.1,4.8,3,42.1,2.184512161,37.8,46.4,5.2,3,427,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEW BRUNSWICK,13,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 2,2,2015-2018,41982,112808,37.2,1.9687,33.4,41.1,5.3,3,37.8,2.073383424,33.7,41.8,5.5,3,442,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEW BRUNSWICK,13,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 3,3,2015-2018,41908,113412,37,2.0299,33,40.9,5.5,3,36.1,1.835893734,32.5,39.7,5.1,3,434,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEW BRUNSWICK,13,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 4,4,2015-2018,48880,126870,38.5,1.89,34.8,42.2,4.9,3,37,1.896277045,33.2,40.7,5.1,3,435,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEW BRUNSWICK,13,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 5 (highest),5,2015-2018,42003,119206,35.2,2.0459,31.2,39.3,5.8,3,33.1,1.878137953,29.4,36.7,5.7,3,373,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,QUEBEC,24,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 1 (lowest),1,2015-2018,376718,1419548,26.5,0.7282,25.1,28,2.7,3,26.8,0.760272435,25.3,28.3,2.8,3,2804,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,QUEBEC,24,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 2,2,2015-2018,359398,1382477,26,0.7285,24.6,27.4,2.8,3,26.2,0.774402995,24.7,27.7,3,3,2402,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,QUEBEC,24,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 3,3,2015-2018,339688,1339510,25.4,0.7145,24,26.8,2.8,3,24.8,0.720759167,23.4,26.3,2.9,3,2247,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,QUEBEC,24,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 4,4,2015-2018,299643,1243387,24.1,0.733,22.7,25.5,3,3,22.9,0.681396312,21.6,24.2,3,3,1933,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,QUEBEC,24,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 5 (highest),5,2015-2018,219671,972855,22.6,0.8621,20.9,24.3,3.8,3,21.9,0.847690675,20.2,23.5,3.9,3,1441,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ONTARIO,35,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 1 (lowest),1,2015-2018,521227,1953716,26.7,0.7562,25.2,28.2,2.8,3,27.7,0.792994482,26.1,29.2,2.9,3,3333,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ONTARIO,35,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 2,2,2015-2018,548240,2026046,27.1,0.7462,25.6,28.5,2.8,3,26.9,0.779351914,25.4,28.5,2.9,3,3200,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ONTARIO,35,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 3,3,2015-2018,539834,2034782,26.5,0.7467,25.1,28,2.8,3,26.5,0.74839655,25.1,28,2.8,3,3221,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ONTARIO,35,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 4,4,2015-2018,573405,2153381,26.6,0.7253,25.2,28.1,2.7,3,26.4,0.69927663,25.1,27.8,2.6,3,3409,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ONTARIO,35,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 5 (highest),5,2015-2018,515437,2144803,24,0.6335,22.8,25.3,2.6,3,22.9,0.610185645,21.7,24.1,2.7,3,3231,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,MANITOBA,46,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 1 (lowest),1,2015-2018,46352,174576,26.6,1.583,23.4,29.7,6,3,27.7,1.656494949,24.5,31,6,3,560,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,MANITOBA,46,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 2,2,2015-2018,54262,185884,29.2,1.4901,26.3,32.1,5.1,3,29.2,1.61425572,26.1,32.4,5.5,3,608,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,MANITOBA,46,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 3,3,2015-2018,51416,178073,28.9,1.6644,25.6,32.1,5.8,3,28.9,1.634383142,25.7,32.1,5.7,3,544,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,MANITOBA,46,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 4,4,2015-2018,60435,180100,33.6,1.5907,30.4,36.7,4.7,3,32.7,1.556366583,29.6,35.7,4.8,3,635,
