Indicator,Indicator_ID,Indicator_Measure,Indicator_Measure_ID,Geography,Geography_ID,Geo_Label,GEO_Code,Age_Groups,Age_Groups_ID,Sex,Sex_ID,Year,Numerator,Denominator,CrudeRate,StdErr_Cr,Lower_CI_Cr,Upper_CI_Cr,CV_Cr,CV_Cr_Interpret,ASR,StdErr_ASR,Lower_CI_ASR,Upper_CI_ASR,CV_ASR,CV_ASR_Interpret,N,Footnotes_ID
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,CANADA,0,adults aged 18+ years,1,both sexes,1,2015-2018,7018332,26529786,26.5,0.2410,26,26.9,0.9,3,26.3,0.2393232909,25.9,26.8,0.9,3,26847,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,1,both sexes,1,2015-2018,161569,400125,40.4,0.9108,38.6,42.2,2.3,3,40.1,0.9782796838,38.1,42,2.4,3,2169,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,PRINCE EDWARD ISLAND,11,adults aged 18+ years,1,both sexes,1,2015-2018,36387,110696,32.9,1.0722,30.8,35,3.3,3,32.5,1.049547802,30.4,34.5,3.2,3,1013,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NOVA SCOTIA,12,adults aged 18+ years,1,both sexes,1,2015-2018,244703,713044,34.3,0.7379,32.9,35.8,2.2,3,33.9,0.7209385487,32.5,35.3,2.1,3,2828,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEW BRUNSWICK,13,adults aged 18+ years,1,both sexes,1,2015-2018,210395,560666,37.5,0.8967,35.8,39.3,2.4,3,36.6,0.8710081764,34.9,38.3,2.4,3,2111,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,QUEBEC,24,adults aged 18+ years,1,both sexes,1,2015-2018,1595118,6357778,25.1,0.3573,24.4,25.8,1.4,3,24.7,0.3426974301,24,25.4,1.4,3,10827,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ONTARIO,35,adults aged 18+ years,1,both sexes,1,2015-2018,2698143,10312727,26.2,0.3187,25.5,26.8,1.2,3,26.1,0.3157122052,25.5,26.8,1.2,3,16394,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,MANITOBA,46,adults aged 18+ years,1,both sexes,1,2015-2018,270301,893570,30.2,0.7312,28.8,31.7,2.4,3,30.3,0.7042386855,28.9,31.7,2.3,3,3047,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,SASKATCHEWAN,47,adults aged 18+ years,1,both sexes,1,2015-2018,258553,784206,33,0.7749,31.4,34.5,2.4,3,33,0.7567323561,31.5,34.5,2.3,3,2789,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ALBERTA,48,adults aged 18+ years,1,both sexes,1,2015-2018,879796,3099267,28.4,0.4835,27.4,29.3,1.7,3,28.7,0.4668978603,27.7,29.6,1.6,3,6877,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,BRITISH COLUMBIA,59,adults aged 18+ years,1,both sexes,1,2015-2018,786152,3540027,22.2,0.4216,21.4,23,1.9,3,22.1,0.4098669992,21.3,22.9,1.9,3,6031,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,YUKON,60,adults aged 18+ years,1,both sexes,1,2015-2018,9679,27655.54,35,2.2685,30.5,39.5,6.5,3,34.6,2.243825591,30.2,39,6.5,3,230,1
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NORTHWEST TERRITORIES,61,adults aged 18+ years,1,both sexes,1,2015-2018,11747,29579.09,39.7,2.2158,35.4,44.1,5.6,3,39.9,2.221125057,35.6,44.3,5.6,3,275,1
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NUNAVUT,62,adults aged 18+ years,1,both sexes,1,2015-2018,6750,20480.06,33,2.1926,28.7,37.3,6.7,3,34,3.354730127,27.5,40.6,9.9,3,210,1
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,CANADA,0,adults aged 18+ years,1,males,2,2015-2018,3747461,13339048,28.1,0.3617,27.4,28.8,1.3,3,28.1,0.3488326658,27.4,28.8,1.2,3,12995,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,1,males,2,2015-2018,85342,198035,43.1,1.2965,40.6,45.6,3,3,42.9,1.397927672,40.1,45.6,3.3,3,1003,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,PRINCE EDWARD ISLAND,11,adults aged 18+ years,1,males,2,2015-2018,18015,54700,32.9,1.5666,29.9,36,4.8,3,32.8,1.604660081,29.6,35.9,4.9,3,423,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NOVA SCOTIA,12,adults aged 18+ years,1,males,2,2015-2018,125144,348769,35.9,1.1092,33.7,38.1,3.1,3,35.5,1.043051752,33.4,37.5,2.9,3,1301,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEW BRUNSWICK,13,adults aged 18+ years,1,males,2,2015-2018,102512,273954,37.4,1.2324,35,39.8,3.3,3,36.3,1.248544477,33.9,38.8,3.4,3,924,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,QUEBEC,24,adults aged 18+ years,1,males,2,2015-2018,839995,3195163,26.3,0.4874,25.3,27.2,1.9,3,26,0.4808414413,25,26.9,1.8,3,5297,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ONTARIO,35,adults aged 18+ years,1,males,2,2015-2018,1393721,5133709,27.1,0.4361,26.3,28,1.6,3,27.2,0.453600252,26.4,28.1,1.7,3,7779,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,MANITOBA,46,adults aged 18+ years,1,males,2,2015-2018,145605,454454,32,1.0210,30,34,3.2,3,32.1,1.026137939,30.1,34.1,3.2,3,1492,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,SASKATCHEWAN,47,adults aged 18+ years,1,males,2,2015-2018,143544,405285,35.4,1.1270,33.2,37.6,3.2,3,35.6,1.112085308,33.4,37.8,3.1,3,1389,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ALBERTA,48,adults aged 18+ years,1,males,2,2015-2018,488133,1605829,30.4,0.7358,29,31.8,2.4,3,30.8,0.6881255774,29.4,32.1,2.2,3,3422,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,BRITISH COLUMBIA,59,adults aged 18+ years,1,males,2,2015-2018,418562,1770244,23.6,0.5973,22.5,24.8,2.5,3,23.7,0.5851793045,22.6,24.9,2.5,3,2976,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,YUKON,60,adults aged 18+ years,1,males,2,2015-2018,5253.73,14464.99,36.3,3.0030,30.4,42.2,8.3,3,36.3,3.316567972,29.8,42.8,9.1,3,111,1
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NORTHWEST TERRITORIES,61,adults aged 18+ years,1,males,2,2015-2018,6434.23,15467.4,41.6,3.1749,35.4,47.8,7.6,3,40.8,3.301277608,34.3,47.3,8.1,3,133,1
