Indicator,Indicator_ID,Indicator_Measure,Indicator_Measure_ID,Geography,Geography_ID,Geo_Label,GEO_Code,Age_Groups,Age_Groups_ID,Sex,Sex_ID,Year,Numerator,Denominator,CrudeRate,StdErr_Cr,Lower_CI_Cr,Upper_CI_Cr,CV_Cr,CV_Cr_Interpret,ASR,StdErr_ASR,Lower_CI_ASR,Upper_CI_ASR,CV_ASR,CV_ASR_Interpret,N,Footnotes_ID
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,CANADA,0,adults aged 18+ years,1,both sexes,1,2015-2016,7018332.48,26529786.54,26.5,0.2410,26,26.9,0.9,3,26.3,0.239323291,25.9,26.8,0.9,3,26847,1
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,1,both sexes,1,2015-2016,163929.71,398658.96,41.1,1.2636,38.6,43.6,3.1,3,40.8,1.362560988,38.2,43.5,3.3,3,1075,1
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,PRINCE EDWARD ISLAND,11,adults aged 18+ years,1,both sexes,1,2015-2016,34076.73,109319.44,31.2,1.5577,28.1,34.2,5,3,30.8,1.445448847,27.9,33.6,4.7,3,476,1
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NOVA SCOTIA,12,adults aged 18+ years,1,both sexes,1,2015-2016,243891.52,709802.2,34.4,1.0219,32.4,36.4,3,3,34,1.043500385,31.9,36,3.1,3,1407,1
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEW BRUNSWICK,13,adults aged 18+ years,1,both sexes,1,2015-2016,214994.46,556675.96,38.6,1.2556,36.2,41.1,3.3,3,37.8,1.303526709,35.3,40.4,3.4,3,1037,1
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,QUEBEC,24,adults aged 18+ years,1,both sexes,1,2015-2016,1542549.93,6311628.3,24.4,0.5029,23.5,25.4,2.1,3,24.1,0.489895523,23.1,25,2,3,5169,1
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ONTARIO,35,adults aged 18+ years,1,both sexes,1,2015-2016,2673570.33,10143635.79,26.4,0.4279,25.5,27.2,1.6,3,26.4,0.441395948,25.5,27.2,1.7,3,7979,1
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,MANITOBA,46,adults aged 18+ years,1,both sexes,1,2015-2016,268633.74,878155.51,30.6,0.9893,28.6,32.5,3.2,3,30.6,0.97448923,28.7,32.5,3.2,3,1518,1
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,SASKATCHEWAN,47,adults aged 18+ years,1,both sexes,1,2015-2016,239574.13,775378.5,30.9,1.0786,28.8,33,3.5,3,31,1.050217622,28.9,33,3.4,3,1307,1
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ALBERTA,48,adults aged 18+ years,1,both sexes,1,2015-2016,855751.53,3068738.75,27.9,0.6814,26.5,29.2,2.4,3,28.1,0.658553509,26.8,29.3,2.3,3,3312,1
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,BRITISH COLUMBIA,59,adults aged 18+ years,1,both sexes,1,2015-2016,753182.9,3500078.44,21.5,0.5682,20.4,22.6,2.6,3,21.5,0.575627854,20.3,22.6,2.7,3,2852,1
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,YUKON,60,adults aged 18+ years,1,both sexes,1,2015-2016,9679.56,27655.54,35,2.2685,30.5,39.5,6.5,3,34.6,2.243825591,30.2,39,6.5,3,230,1
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NORTHWEST TERRITORIES,61,adults aged 18+ years,1,both sexes,1,2015-2016,11747.41,29579.09,39.7,2.2158,35.4,44.1,5.6,3,39.9,2.221125057,35.6,44.3,5.6,3,275,1
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NUNAVUT,62,adults aged 18+ years,1,both sexes,1,2015-2016,6750.53,20480.06,33,2.1926,28.7,37.3,6.7,3,34,3.354730127,27.5,40.6,9.9,3,210,1
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,CANADA,0,adults aged 18+ years,1,males,2,2015-2016,3747461.15,13339048.25,28.1,0.3617,27.4,28.8,1.3,3,28.1,0.348832666,27.4,28.8,1.2,3,12995,1
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,1,males,2,2015-2016,88042.23,197081.37,44.7,1.9479,40.9,48.5,4.4,3,44.6,2.026094985,40.6,48.6,4.5,3,500,1
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,PRINCE EDWARD ISLAND,11,adults aged 18+ years,1,males,2,2015-2016,17214.02,53766.72,32,2.2956,27.5,36.5,7.2,3,31.7,2.253241416,27.3,36.1,7.1,3,200,1
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NOVA SCOTIA,12,adults aged 18+ years,1,males,2,2015-2016,126140.93,345773.34,36.5,1.4574,33.6,39.3,4,3,35.9,1.453935581,33.1,38.8,4,3,667,1
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEW BRUNSWICK,13,adults aged 18+ years,1,males,2,2015-2016,106286.96,272280.35,39,1.8891,35.3,42.7,4.8,3,37.6,1.885190337,33.9,41.2,5,3,475,1
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,QUEBEC,24,adults aged 18+ years,1,males,2,2015-2016,824973.21,3169951.7,26,0.7236,24.6,27.4,2.8,3,25.7,0.707448242,24.3,27.1,2.8,3,2514,1
