Indicator,Indicator_ID,Indicator_Measure,Indicator_Measure_ID,Geography,Geography_ID,Geo_Label,GEO_Code,Age_Groups,Age_Groups_ID,Sex,Sex_ID,Year,Numerator,Denominator,CrudeRate,StdErr_Cr,Lower_CI_Cr,Upper_CI_Cr,CV_Cr,CV_Cr_Interpret,ASR,StdErr_ASR,Lower_CI_ASR,Upper_CI_ASR,CV_ASR,CV_ASR_Interpret
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,CANADA,0,adults aged 18+ years,1,both sexes,1,2015-2018,7171152,26851615,26.7,0.1852,26.3,27.1,0.7,3,26.6,0.1742965224,26.2,26.9,0.7,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,1,both sexes,1,2015-2018,161569,400125,40.4,0.9108,38.6,42.2,2.3,3,40.1,0.9782796838,38.1,42,2.4,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,PRINCE EDWARD ISLAND,11,adults aged 18+ years,1,both sexes,1,2015-2018,36387,110696,32.9,1.0722,30.8,35,3.3,3,32.5,1.049547802,30.4,34.5,3.2,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NOVA SCOTIA,12,adults aged 18+ years,1,both sexes,1,2015-2018,244703,713044,34.3,0.7379,32.9,35.8,2.2,3,33.9,0.7209385487,32.5,35.3,2.1,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEW BRUNSWICK,13,adults aged 18+ years,1,both sexes,1,2015-2018,210395,560666,37.5,0.8967,35.8,39.3,2.4,3,36.6,0.8710081764,34.9,38.3,2.4,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,QUEBEC,24,adults aged 18+ years,1,both sexes,1,2015-2018,1595118,6357778,25.1,0.3573,24.4,25.8,1.4,3,24.7,0.3426974301,24,25.4,1.4,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ONTARIO,35,adults aged 18+ years,1,both sexes,1,2015-2018,2698143,10312727,26.2,0.3187,25.5,26.8,1.2,3,26.1,0.3157122052,25.5,26.8,1.2,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,MANITOBA,46,adults aged 18+ years,1,both sexes,1,2015-2018,270301,893570,30.2,0.7312,28.8,31.7,2.4,3,30.3,0.7042386855,28.9,31.7,2.3,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,SASKATCHEWAN,47,adults aged 18+ years,1,both sexes,1,2015-2018,258553,784206,33,0.7749,31.4,34.5,2.4,3,33,0.7567323561,31.5,34.5,2.3,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ALBERTA,48,adults aged 18+ years,1,both sexes,1,2015-2018,879796,3099267,28.4,0.4835,27.4,29.3,1.7,3,28.7,0.4668978603,27.7,29.6,1.6,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,BRITISH COLUMBIA,59,adults aged 18+ years,1,both sexes,1,2015-2018,786152,3540027,22.2,0.4216,21.4,23,1.9,3,22.1,0.4098669992,21.3,22.9,1.9,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,YUKON,60,adults aged 18+ years,1,both sexes,1,2015-2018,9595,27873,34.4,1.3966,31.7,37.2,4.1,3,34.1,1.452694135,31.2,36.9,4.3,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NORTHWEST TERRITORIES,61,adults aged 18+ years,1,both sexes,1,2015-2018,12135,30155,40.2,1.7086,36.9,43.6,4.2,3,41.1,1.685941127,37.8,44.4,4.1,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NUNAVUT,62,adults aged 18+ years,1,both sexes,1,2015-2018,7058,20934,33.7,1.9028,30,37.5,5.6,3,36.3,2.345970376,31.7,40.9,6.5,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,CANADA,0,adults aged 18+ years,1,males,2,2015-2018,3776031,13480832,28,0.2571,27.5,28.5,0.9,3,28,0.2473218454,27.5,28.5,0.9,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,1,males,2,2015-2018,85342,198035,43.1,1.2965,40.6,45.6,3,3,42.9,1.397927672,40.1,45.6,3.3,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,PRINCE EDWARD ISLAND,11,adults aged 18+ years,1,males,2,2015-2018,18015,54700,32.9,1.5666,29.9,36,4.8,3,32.8,1.604660081,29.6,35.9,4.9,3
