Indicator,Indicator_ID,Indicator_Measure,Indicator_Measure_ID,Geography,Geography_ID,Geo_Label,GEO_Code,Age_Groups,Age_Groups_ID,Sex,Sex_ID,SDOH,SDOH_ID,SDOH_Cat,SDOH_Cat_ID,Year,Numerator,Denominator,CrudeRate,StdErr_Cr,Lower_CI_Cr,Upper_CI_Cr,CV_Cr,CV_Cr_Interpret,ASR,StdErr_ASR,Lower_CI_ASR,Upper_CI_ASR,CV_ASR,CV_ASR_Interpret,N,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,CANADA,0,adults aged 18+ years,1,both sexes,1,Income (household) ,1,Quintile 1 (lowest),1,2015-2016,1317087,4924182,26.7,0.5932,25.6,27.9,2.2,3,27.9,0.613190438,26.7,29.1,2.2,3,5264,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,CANADA,0,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 2,2,2015-2016,1359945,5172359,26.3,0.5534,25.2,27.4,2.1,3,26.7,0.592330536,25.5,27.8,2.2,3,5124,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,CANADA,0,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 3,3,2015-2016,1387769,5315390,26.1,0.5521,25,27.2,2.1,3,25.9,0.565343339,24.8,27.1,2.2,3,5029,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,CANADA,0,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 4,4,2015-2016,1454502,5401684,26.9,0.5481,25.9,28,2,3,26.4,0.523134958,25.4,27.4,2,3,5209,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,CANADA,0,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 5 (highest),5,2015-2016,1470852,5638456,26.1,0.4930,25.1,27.1,1.9,3,25.1,0.500099295,24.1,26.1,2,3,5506,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 1 (lowest),1,2015-2016,30047,72056,41.7,2.7141,36.4,47,6.5,3,42.9,3.183679436,36.6,49.1,7.4,3,250,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 2,2,2015-2016,29938,71416,41.9,2.8204,36.4,47.5,6.7,3,43.4,3.287038243,36.9,49.8,7.6,3,205,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 3,3,2015-2016,23248,61414,37.9,3.0630,31.8,43.9,8.1,3,38.1,3.324631694,31.6,44.6,8.7,3,173,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 4,4,2015-2016,34800,77577,44.9,3.0873,38.8,50.9,6.9,3,43.3,3.004464698,37.4,49.2,6.9,3,201,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 5 (income),5,2015-2016,45897,116196,39.5,2.7012,34.2,44.8,6.8,3,35.9,2.559414225,30.9,40.9,7.1,3,246,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,PRINCE EDWARD ISLAND,11,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 1 (lowest),1,2015-2016,4533,15210,29.8,3.1594,23.6,36,10.6,3,29.7,3.431120385,23,36.5,11.6,3,87,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,PRINCE EDWARD ISLAND,11,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 2,2,2015-2016,6699,21996,30.5,3.0639,24.4,36.5,10.1,3,31,3.622014761,23.9,38.1,11.7,3,91,,
