Indicator,Indicator_Measure,Geography,Geo_Label,GEO_Code,Age_Groups,Sex,SDOH,SDOH_Cat,Year,Numerator,Denominator,CrudeRate,StdErr_Cr,Lower_CI_Cr,Upper_CI_Cr,CV_Cr,ASR,StdErr_ASR,Lower_CI_ASR,Upper_CI_ASR,CV_ASR
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,CANADA,0,adults aged 18+ years,both sexes,Income (household) ,Quintile 1 (lowest),2015-2018,1317087,4924182,26.7,0.5932,25.6,27.9,2.2,27.9,0.613190438,26.7,29.1,2.2
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,CANADA,0,adults aged 18+ years,both sexes,Income (household),Quintile 2,2015-2018,1359945,5172359,26.3,0.5534,25.2,27.4,2.1,26.7,0.592330536,25.5,27.8,2.2
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,CANADA,0,adults aged 18+ years,both sexes,Income (household),Quintile 3,2015-2018,1387769,5315390,26.1,0.5521,25,27.2,2.1,25.9,0.565343339,24.8,27.1,2.2
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,CANADA,0,adults aged 18+ years,both sexes,Income (household),Quintile 4,2015-2018,1454502,5401684,26.9,0.5481,25.9,28,2,26.4,0.523134958,25.4,27.4,2
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,CANADA,0,adults aged 18+ years,both sexes,Income (household),Quintile 5 (highest),2015-2018,1470852,5638456,26.1,0.4930,25.1,27.1,1.9,25.1,0.500099295,24.1,26.1,2
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,both sexes,Income (household),Quintile 1 (lowest),2015-2018,30409,73469,41.4,1.9572,37.6,45.2,4.7,42.6,2.167663116,38.4,46.9,5.1
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,both sexes,Income (household),Quintile 2,2015-2018,28265,73860,38.3,2.0521,34.2,42.3,5.4,39.9,2.36574735,35.2,44.5,5.9
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,both sexes,Income (household),Quintile 3,2015-2018,28220,66792,42.2,2.0971,38.1,46.4,5,41.7,2.245810197,37.3,46.1,5.4
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,both sexes,Income (household),Quintile 4,2015-2018,32997,76588,43.1,2.4457,38.3,47.9,5.7,41.7,2.177706016,37.5,46,5.2
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,both sexes,Income (household),Quintile 5 (highest),2015-2018,41678,109415,38.1,1.9284,34.3,41.9,5.1,36.2,1.852721645,32.5,39.8,5.1
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,PRINCE EDWARD ISLAND,11,adults aged 18+ years,both sexes,Income (household),Quintile 1 (lowest),2015-2018,5065,16261,31.1,2.2892,26.7,35.6,7.3,32.5,2.588341035,27.4,37.6,8
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,PRINCE EDWARD ISLAND,11,adults aged 18+ years,both sexes,Income (household),Quintile 2,2015-2018,8414,23109,36.4,2.2913,31.9,40.9,6.3,36.2,2.591818419,31.1,41.2,7.2
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,PRINCE EDWARD ISLAND,11,adults aged 18+ years,both sexes,Income (household),Quintile 3,2015-2018,8024,22980,34.9,2.1871,30.6,39.2,6.3,34.2,2.409358213,29.5,38.9,7
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,PRINCE EDWARD ISLAND,11,adults aged 18+ years,both sexes,Income (household),Quintile 4,2015-2018,7825,23744,33,2.3670,28.3,37.6,7.2,32.8,2.253517455,28.4,37.2,6.9
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,PRINCE EDWARD ISLAND,11,adults aged 18+ years,both sexes,Income (household),Quintile 5 (highest),2015-2018,7059,24601,28.7,2.3895,24,33.4,8.3,29.2,2.236275611,24.8,33.6,7.7
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,NOVA SCOTIA,12,adults aged 18+ years,both sexes,Income (household),Quintile 1 (lowest),2015-2018,45493,125055,36.4,1.6848,33.1,39.7,4.6,37.8,1.75957539,34.4,41.3,4.7
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,NOVA SCOTIA,12,adults aged 18+ years,both sexes,Income (household),Quintile 2,2015-2018,45068,127147,35.4,1.6112,32.3,38.6,4.5,35.5,1.773510257,32,39,5
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,NOVA SCOTIA,12,adults aged 18+ years,both sexes,Income (household),Quintile 3,2015-2018,51188,143448,35.7,1.6938,32.4,39,4.7,35.7,1.68285919,32.4,39,4.7
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,NOVA SCOTIA,12,adults aged 18+ years,both sexes,Income (household),Quintile 4,2015-2018,52819,157243,33.6,1.4526,30.7,36.4,4.3,32,1.412037115,29.2,34.7,4.4
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,NOVA SCOTIA,12,adults aged 18+ years,both sexes,Income (household),Quintile 5 (highest),2015-2018,50136,160151,31.3,1.5513,28.3,34.3,5,29.8,1.564082477,26.7,32.9,5.2
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,NEW BRUNSWICK,13,adults aged 18+ years,both sexes,Income (household),Quintile 1 (lowest),2015-2018,35622,88370,40.3,1.9394,36.5,44.1,4.8,42.1,2.184512161,37.8,46.4,5.2
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,NEW BRUNSWICK,13,adults aged 18+ years,both sexes,Income (household),Quintile 2,2015-2018,41982,112808,37.2,1.9687,33.4,41.1,5.3,37.8,2.073383424,33.7,41.8,5.5
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,NEW BRUNSWICK,13,adults aged 18+ years,both sexes,Income (household),Quintile 3,2015-2018,41908,113412,37,2.0299,33,40.9,5.5,36.1,1.835893734,32.5,39.7,5.1
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,NEW BRUNSWICK,13,adults aged 18+ years,both sexes,Income (household),Quintile 4,2015-2018,48880,126870,38.5,1.8900,34.8,42.2,4.9,37,1.896277045,33.2,40.7,5.1
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,NEW BRUNSWICK,13,adults aged 18+ years,both sexes,Income (household),Quintile 5 (highest),2015-2018,42003,119206,35.2,2.0459,31.2,39.3,5.8,33.1,1.878137953,29.4,36.7,5.7
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,QUEBEC,24,adults aged 18+ years,both sexes,Income (household),Quintile 1 (lowest),2015-2018,376718,1419548,26.5,0.7282,25.1,28,2.7,26.8,0.760272435,25.3,28.3,2.8
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,QUEBEC,24,adults aged 18+ years,both sexes,Income (household),Quintile 2,2015-2018,359398,1382477,26,0.7285,24.6,27.4,2.8,26.2,0.774402995,24.7,27.7,3
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,QUEBEC,24,adults aged 18+ years,both sexes,Income (household),Quintile 3,2015-2018,339688,1339510,25.4,0.7145,24,26.8,2.8,24.8,0.720759167,23.4,26.3,2.9
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,QUEBEC,24,adults aged 18+ years,both sexes,Income (household),Quintile 4,2015-2018,299643,1243387,24.1,0.7330,22.7,25.5,3,22.9,0.681396312,21.6,24.2,3
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,QUEBEC,24,adults aged 18+ years,both sexes,Income (household),Quintile 5 (highest),2015-2018,219671,972855,22.6,0.8621,20.9,24.3,3.8,21.9,0.847690675,20.2,23.5,3.9
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,ONTARIO,35,adults aged 18+ years,both sexes,Income (household),Quintile 1 (lowest),2015-2018,521227,1953716,26.7,0.7562,25.2,28.2,2.8,27.7,0.792994482,26.1,29.2,2.9
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,ONTARIO,35,adults aged 18+ years,both sexes,Income (household),Quintile 2,2015-2018,548240,2026046,27.1,0.7462,25.6,28.5,2.8,26.9,0.779351914,25.4,28.5,2.9
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,ONTARIO,35,adults aged 18+ years,both sexes,Income (household),Quintile 3,2015-2018,539834,2034782,26.5,0.7467,25.1,28,2.8,26.5,0.74839655,25.1,28,2.8
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,ONTARIO,35,adults aged 18+ years,both sexes,Income (household),Quintile 4,2015-2018,573405,2153381,26.6,0.7253,25.2,28.1,2.7,26.4,0.69927663,25.1,27.8,2.6
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,ONTARIO,35,adults aged 18+ years,both sexes,Income (household),Quintile 5 (highest),2015-2018,515437,2144803,24,0.6335,22.8,25.3,2.6,22.9,0.610185645,21.7,24.1,2.7
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,MANITOBA,46,adults aged 18+ years,both sexes,Income (household),Quintile 1 (lowest),2015-2018,46352,174576,26.6,1.5830,23.4,29.7,6,27.7,1.656494949,24.5,31,6
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,MANITOBA,46,adults aged 18+ years,both sexes,Income (household),Quintile 2,2015-2018,54262,185884,29.2,1.4901,26.3,32.1,5.1,29.2,1.61425572,26.1,32.4,5.5
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,MANITOBA,46,adults aged 18+ years,both sexes,Income (household),Quintile 3,2015-2018,51416,178073,28.9,1.6644,25.6,32.1,5.8,28.9,1.634383142,25.7,32.1,5.7
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,MANITOBA,46,adults aged 18+ years,both sexes,Income (household),Quintile 4,2015-2018,60435,180100,33.6,1.5907,30.4,36.7,4.7,32.7,1.556366583,29.6,35.7,4.8
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,MANITOBA,46,adults aged 18+ years,both sexes,Income (household),Quintile 5 (highest),2015-2018,57836,174938,33.1,1.6099,29.9,36.2,4.9,31.8,1.499255056,28.8,34.7,4.7
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,SASKATCHEWAN,47,adults aged 18+ years,both sexes,Income (household),Quintile 1 (lowest),2015-2018,35975,108901,33,1.9859,29.1,36.9,6,35.4,2.213703621,31,39.7,6.3
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,SASKATCHEWAN,47,adults aged 18+ years,both sexes,Income (household),Quintile 2,2015-2018,38291,111482,34.3,1.8516,30.7,38,5.4,34,2.118891772,29.8,38.1,6.2
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,SASKATCHEWAN,47,adults aged 18+ years,both sexes,Income (household),Quintile 3,2015-2018,51988,144360,36,1.9715,32.1,39.9,5.5,35.9,1.990141494,32,39.8,5.5
