Indicator,Indicator_Measure,Geography,Geo_Label,GEO_Code,Age_Groups,Sex,SDOH,SDOH_Cat,Year,Numerator,Denominator,CrudeRate,StdErr_Cr,Lower_CI_Cr,Upper_CI_Cr,CV_Cr,ASR,StdErr_ASR,Lower_CI_ASR,Upper_CI_ASR,CV_ASR
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,CANADA,0,adults aged 18+ years,both sexes,Income (household),Quintile 1 (lowest),2015-2018,628356,1953716,32.2,0.8637,30.5,33.9,2.7,32.6,0.891904166,30.9,34.4,2.7
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,CANADA,0,adults aged 18+ years,both sexes,Income (household),Quintile 2,2015-2018,708485,2026046,35,0.8615,33.3,36.7,2.5,34.9,0.91906931,33.1,36.7,2.6
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,CANADA,0,adults aged 18+ years,both sexes,Income (household),Quintile 3,2015-2018,745670,2034782,36.6,0.8283,35,38.3,2.3,36.4,0.845331607,34.8,38.1,2.3
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,CANADA,0,adults aged 18+ years,both sexes,Income (household),Quintile 4,2015-2018,774664,2153381,36,0.8036,34.4,37.6,2.2,35.8,0.763256801,34.3,37.3,2.1
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,CANADA,0,adults aged 18+ years,both sexes,Income (household),Quintile 5 (highest),2015-2018,844759,2144803,39.4,0.8338,37.8,41,2.1,39.2,0.791154446,37.7,40.8,2
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,both sexes,Income (household),Quintile 1 (lowest),2015-2018,20820,73469,28.3,1.8467,24.7,32,6.5,26.4,1.919411081,22.6,30.2,7.3
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,both sexes,Income (household),Quintile 2,2015-2018,24929,73860,33.8,2.0077,29.8,37.7,5.9,31.4,2.390752593,26.7,36.1,7.6
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,both sexes,Income (household),Quintile 3,2015-2018,23572,66792,35.3,2.0268,31.3,39.3,5.7,33.8,2.261566451,29.4,38.2,6.7
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,both sexes,Income (household),Quintile 4,2015-2018,28105,76588,36.7,2.1399,32.5,40.9,5.8,36,1.96667154,32.2,39.9,5.5
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,both sexes,Income (household),Quintile 5 (highest),2015-2018,40248,109415,36.8,1.9280,33,40.6,5.2,36.2,1.877095804,32.6,39.9,5.2
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,PRINCE EDWARD ISLAND,11,adults aged 18+ years,both sexes,Income (household),Quintile 1 (lowest),2015-2018,5343,16261,32.9,2.3869,28.2,37.5,7.3,32.1,2.551528727,27.1,37.1,7.9
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,PRINCE EDWARD ISLAND,11,adults aged 18+ years,both sexes,Income (household),Quintile 2,2015-2018,7645,23109,33.1,2.2669,28.6,37.5,6.9,32.4,2.449191351,27.6,37.2,7.6
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,PRINCE EDWARD ISLAND,11,adults aged 18+ years,both sexes,Income (household),Quintile 3,2015-2018,8995,22980,39.1,2.4004,34.4,43.9,6.1,37.5,2.501808315,32.6,42.4,6.7
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,PRINCE EDWARD ISLAND,11,adults aged 18+ years,both sexes,Income (household),Quintile 4,2015-2018,9124,23744,38.4,2.3350,33.8,43,6.1,38.7,2.41938082,33.9,43.4,6.3
