Indicator,Indicator_Measure,Geography,Geo_Label,GEO_Code,Age_Groups,Sex,SDOH,SDOH_Cat,Year,Numerator,Denominator,CrudeRate,StdErr_Cr,Lower_CI_Cr,Upper_CI_Cr,CV_Cr,ASR,StdErr_ASR,Lower_CI_ASR,Upper_CI_ASR,CV_ASR
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,CANADA,0,adults aged 18+ years,both sexes,Income (household),Quintile 1 (lowest),2015-2018,1149583,1953716,58.8,0.9649,56.9,60.7,1.6,60.3,0.918059607,58.5,62.1,1.5
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,CANADA,0,adults aged 18+ years,both sexes,Income (household),Quintile 2,2015-2018,1256725,2026046,62,0.8666,60.3,63.7,1.4,61.9,0.916131992,60.1,63.7,1.5
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,CANADA,0,adults aged 18+ years,both sexes,Income (household),Quintile 3,2015-2018,1285504,2034782,63.2,0.8710,61.5,64.9,1.4,62.9,0.896018285,61.2,64.7,1.4
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,CANADA,0,adults aged 18+ years,both sexes,Income (household),Quintile 4,2015-2018,1348069,2153381,62.6,0.8327,61,64.2,1.3,62.3,0.803231063,60.7,63.8,1.3
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,CANADA,0,adults aged 18+ years,both sexes,Income (household),Quintile 5 (highest),2015-2018,1360196,2144803,63.4,0.8115,61.8,65,1.3,62.1,0.797727711,60.5,63.7,1.3
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,both sexes,Income (household),Quintile 1 (lowest),2015-2018,51229,73469,69.7,1.9783,65.8,73.6,2.8,69,2.092775562,64.9,73.1,3
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,both sexes,Income (household),Quintile 2,2015-2018,53194,73860,72,1.9547,68.2,75.9,2.7,71.2,2.342607477,66.7,75.8,3.3
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,both sexes,Income (household),Quintile 3,2015-2018,51792,66792,77.5,1.8307,73.9,81.1,2.4,75.5,2.045910831,71.4,79.5,2.7
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,both sexes,Income (household),Quintile 4,2015-2018,61103,76588,79.8,1.8423,76.2,83.4,2.3,77.8,1.810749292,74.2,81.3,2.3
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,both sexes,Income (household),Quintile 5 (highest),2015-2018,81926,109415,74.9,1.8614,71.2,78.5,2.5,72.4,1.809612956,68.9,76,2.5
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,PRINCE EDWARD ISLAND,11,adults aged 18+ years,both sexes,Income (household),Quintile 1 (lowest),2015-2018,10408,16261,64,2.5227,59.1,69,3.9,64.6,2.639082011,59.4,69.8,4.1
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,PRINCE EDWARD ISLAND,11,adults aged 18+ years,both sexes,Income (household),Quintile 2,2015-2018,16059,23109,69.5,2.1221,65.3,73.7,3.1,68.6,2.449963369,63.8,73.4,3.6
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,PRINCE EDWARD ISLAND,11,adults aged 18+ years,both sexes,Income (household),Quintile 3,2015-2018,17019,22980,74.1,2.0299,70.1,78,2.7,71.7,2.268201997,67.3,76.2,3.2
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,PRINCE EDWARD ISLAND,11,adults aged 18+ years,both sexes,Income (household),Quintile 4,2015-2018,16949,23744,71.4,2.2391,67,75.8,3.1,71.5,2.164434512,67.2,75.7,3
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,PRINCE EDWARD ISLAND,11,adults aged 18+ years,both sexes,Income (household),Quintile 5 (highest),2015-2018,18320,24601,74.5,2.0600,70.4,78.5,2.8,73.6,2.180939924,69.4,77.9,3
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NOVA SCOTIA,12,adults aged 18+ years,both sexes,Income (household),Quintile 1 (lowest),2015-2018,82705,125055,66.1,1.6500,62.9,69.4,2.5,66.7,1.779298492,63.3,70.2,2.7
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NOVA SCOTIA,12,adults aged 18+ years,both sexes,Income (household),Quintile 2,2015-2018,87485,127147,68.8,1.6318,65.6,72,2.4,65.9,1.791348373,62.4,69.4,2.7
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NOVA SCOTIA,12,adults aged 18+ years,both sexes,Income (household),Quintile 3,2015-2018,102603,143448,71.5,1.6045,68.4,74.7,2.2,71,1.56415633,67.9,74,2.2
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NOVA SCOTIA,12,adults aged 18+ years,both sexes,Income (household),Quintile 4,2015-2018,111524,157243,70.9,1.5161,67.9,73.9,2.1,68.9,1.556602904,65.8,71.9,2.3
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NOVA SCOTIA,12,adults aged 18+ years,both sexes,Income (household),Quintile 5 (highest),2015-2018,111116,160151,69.4,1.8237,65.8,73,2.6,66.4,1.704066377,63,69.7,2.6
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NEW BRUNSWICK,13,adults aged 18+ years,both sexes,Income (household),Quintile 1 (lowest),2015-2018,60782,88370,68.8,1.7983,65.3,72.3,2.6,69.2,2.071888229,65.2,73.3,3
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NEW BRUNSWICK,13,adults aged 18+ years,both sexes,Income (household),Quintile 2,2015-2018,82409,112808,73.1,1.6763,69.8,76.3,2.3,72.6,1.811798895,69,76.1,2.5
