Indicator,Indicator_Measure,Geography,Geo_Label,GEO_Code,Age_Groups,Sex,Year,Numerator,Denominator,CrudeRate,StdErr_Cr,Lower_CI_Cr,Upper_CI_Cr,CV_Cr,ASR,StdErr_ASR,Lower_CI_ASR,Upper_CI_ASR,CV_ASR
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,CANADA,0,adults aged 18+ years,both sexes,2015-2018,7018332,26529786,26.5,0.2410,26,26.9,0.9,26.3,0.239323291,25.9,26.8,0.9
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,both sexes,2015-2018,161569,400125,40.4,0.9108,38.6,42.2,2.3,40.1,0.978279684,38.1,42,2.4
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,PRINCE EDWARD ISLAND,11,adults aged 18+ years,both sexes,2015-2018,36387,110696,32.9,1.0722,30.8,35,3.3,32.5,1.049547802,30.4,34.5,3.2
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,NOVA SCOTIA,12,adults aged 18+ years,both sexes,2015-2018,244703,713044,34.3,0.7379,32.9,35.8,2.2,33.9,0.720938549,32.5,35.3,2.1
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,NEW BRUNSWICK,13,adults aged 18+ years,both sexes,2015-2018,210395,560666,37.5,0.8967,35.8,39.3,2.4,36.6,0.871008176,34.9,38.3,2.4
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,QUEBEC,24,adults aged 18+ years,both sexes,2015-2018,1595118,6357778,25.1,0.3573,24.4,25.8,1.4,24.7,0.34269743,24,25.4,1.4
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,ONTARIO,35,adults aged 18+ years,both sexes,2015-2018,2698143,10312727,26.2,0.3187,25.5,26.8,1.2,26.1,0.315712205,25.5,26.8,1.2
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,MANITOBA,46,adults aged 18+ years,both sexes,2015-2018,270301,893570,30.2,0.7312,28.8,31.7,2.4,30.3,0.704238686,28.9,31.7,2.3
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,SASKATCHEWAN,47,adults aged 18+ years,both sexes,2015-2018,258553,784206,33,0.7749,31.4,34.5,2.4,33,0.756732356,31.5,34.5,2.3
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,ALBERTA,48,adults aged 18+ years,both sexes,2015-2018,879796,3099267,28.4,0.4835,27.4,29.3,1.7,28.7,0.46689786,27.7,29.6,1.6
