Indicator,Indicator_Measure,Geography,Geo_Label,GEO_Code,Age_Groups,Sex,Year,Numerator,Denominator,CrudeRate,StdErr_Cr,Lower_CI_Cr,Upper_CI_Cr,CV_Cr,ASR,StdErr_ASR,Lower_CI_ASR,Upper_CI_ASR,CV_ASR
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,CANADA,1,adults aged 18+ years,both sexes,2015-2018,6400076,10312727,62.1,0.3704,61.3,62.8,0.6,62,0.374960045,61.2,62.7,0.6
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,both sexes,2015-2018,299243,400125,74.8,0.8731,73.1,76.5,1.2,73.5,0.879883275,71.7,75.2,1.2
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,PRINCE EDWARD ISLAND,11,adults aged 18+ years,both sexes,2015-2018,78756,110696,71.1,1.0043,69.2,73.1,1.4,70.3,1.030091233,68.3,72.3,1.5
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NOVA SCOTIA,12,adults aged 18+ years,both sexes,2015-2018,495434,713044,69.5,0.7771,68,71,1.1,68.3,0.738060346,66.9,69.8,1.1
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NEW BRUNSWICK,13,adults aged 18+ years,both sexes,2015-2018,406666,560666,72.5,0.8302,70.9,74.2,1.1,70.9,0.852313295,69.2,72.6,1.2
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,QUEBEC,24,adults aged 18+ years,both sexes,2015-2018,3914829,6357778,61.6,0.3707,60.8,62.3,0.6,60.8,0.370487315,60.1,61.6,0.6
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,ONTARIO,35,adults aged 18+ years,both sexes,2015-2018,6400076,10312727,62.1,0.3704,61.3,62.8,0.6,62,0.374960045,61.2,62.7,0.6
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,MANITOBA,46,adults aged 18+ years,both sexes,2015-2018,578202,893570,64.7,0.8074,63.1,66.3,1.2,64.9,0.767205476,63.4,66.4,1.2
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,SASKATCHEWAN,47,adults aged 18+ years,both sexes,2015-2018,549083,784206,70,0.7380,68.6,71.5,1.1,70,0.780760183,68.4,71.5,1.1
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,ALBERTA,48,adults aged 18+ years,both sexes,2015-2018,1995289,3099267,64.4,0.5351,63.3,65.4,0.8,64.7,0.491966286,63.7,65.7,0.8
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,BRITISH COLUMBIA,59,adults aged 18+ years,both sexes,2015-2018,2031048,3540027,57.4,0.5272,56.3,58.4,0.9,57,0.507612456,56,58,0.9
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,YUKON,60,adults aged 18+ years,both sexes,2015-2018,312939,405285,77.2,0.9722,75.3,79.1,1.3,77.3,0.977885044,75.4,79.3,1.3
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NORTHWEST TERRITORIES,61,adults aged 18+ years,both sexes,2015-2018,1152205,1605829,71.8,0.6634,70.4,73.1,0.9,71.9,0.633034277,70.7,73.2,0.9
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NUNAVUT,62,adults aged 18+ years,both sexes,2015-2018,1153504,1770244,65.2,0.7179,63.8,66.6,1.1,65.2,0.683046505,63.9,66.5,1
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,CANADA,1,adults aged 18+ years,males,2015-2018,3473824,5133709,67.7,0.5181,66.7,68.7,0.8,67.8,0.521697363,66.8,68.9,0.8
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,males,2015-2018,154694,198035,78.1,1.0887,76,80.3,1.4,77.1,1.198054628,74.8,79.5,1.6
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,PRINCE EDWARD ISLAND,11,adults aged 18+ years,males,2015-2018,41698,54700,76.2,1.4092,73.5,79,1.8,75.6,1.42072672,72.8,78.4,1.9
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NOVA SCOTIA,12,adults aged 18+ years,males,2015-2018,258872,348769,74.2,1.0259,72.2,76.2,1.4,73.5,0.968332217,71.6,75.4,1.3
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NEW BRUNSWICK,13,adults aged 18+ years,males,2015-2018,209228,273954,76.4,1.0806,74.3,78.5,1.4,74.6,1.171408392,72.3,76.9,1.6
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,QUEBEC,24,adults aged 18+ years,males,2015-2018,2169202,3195163,67.9,0.5135,66.9,68.9,0.8,67.3,0.497018199,66.4,68.3,0.7
